id_produit,nom_produit,marque,categorie,sous_categorie,type_emballage,poids_net,volume,energie_kcal,energie_kj,lipides,acides_gras_satures,acides_gras_mono_insatures,acides_gras_poly_insatures,cholesterol,glucides,sucres,amidon,fibres_alimentaires,proteines,sel,sodium,calcium,fer,magnesium,zinc,vitamine_a,vitamine_c,vitamine_d,vitamine_b1,vitamine_b2,vitamine_b3,vitamine_b6,vitamine_b12,vitamine_e,vitamine_k,omega_3,omega_6,ingredients,additifs,allergenes,certifications,pays_origine,lieu_fabrication,instructions_conservation,mode_preparation,date_expiration,code_barres,site_internet_marque,service_client_contact
1010,Standard Président tradition,Président,Charcuterie,Standard,Sachet plastique,1161g,,539.2 kcal,,0.3g,10.0g,14.8g,,16.6mg,46.1g,,,7.3g,15.3g,,,135.4mg,,,,778.0µg,51.8mg,8.2µg,0.6mg,0.4mg,10.2mg,,0.9µg,0.3mg,,2.0g,,"Ingrédient49 (12.0%), Ingrédient16 (31.4%), Ingrédient12 (33.6%), Ingrédient18 (21.2%), Ingrédient11 (37.9%), Ingrédient46 (22.9%), Ingrédient14 (15.1%), Ingrédient46 (30.1%), Ingrédient38 (12.0%), Ingrédient44 (47.4%), Ingrédient7 (46.5%), Ingrédient38 (13.4%), Ingrédient46 (11.9%), Ingrédient38 (21.9%), Ingrédient44 (49.2%)","E160, E102, E104, E110, E200","Arachide, Œufs, Arachide",,Grèce,Allemagne,À conserver à l'abri de la lumière et de l'humidité,À réchauffer 3 minutes au micro-ondes,29/4/2025,9972378090632,www.président.com,contact@président.com
1011,Le standard Coca-Cola,Coca-Cola,Charcuterie,Standard,Film plastique,1828g,,269.2 kcal,,4.5g,12.9g,3.1g,1.9g,,31.3g,36.5g,,12.5g,16.9g,1.1g,783.5mg,326.0mg,13.9mg,76.5mg,,123.9µg,20.7mg,14.7µg,0.2mg,0.6mg,5.8mg,,1.9µg,8.9mg,40.0µg,1.0g,0.2g,"Ingrédient49 (34.4%), Ingrédient39 (23.4%), Ingrédient21 (8.2%), Ingrédient47 (32.3%), Ingrédient39 (24.3%), Ingrédient28 (47.6%)",,"Poisson, Œufs, Soja",Label Rouge,Belgique,Suisse,À conserver dans un endroit frais et sec,À cuire 10 minutes à la poêle,17/7/2025,5136654491000,www.coca-cola.com,contact@coca-cola.com
1012,Carrefour - Standard spécial,Carrefour,Fromages,Standard,Bouteille plastique,1786g,,336.8 kcal,1715.2 kJ,,10.3g,,,81.2mg,,38.5g,6.7g,1.4g,3.9g,4.4g,906.7mg,164.1mg,7.5mg,67.6mg,2.8mg,287.8µg,,1.2µg,2.0mg,0.9mg,8.8mg,1.7mg,1.1µg,13.6mg,11.2µg,1.8g,,"Ingrédient8 (20.5%), Ingrédient42 (23.3%), Ingrédient26 (38.4%), Ingrédient43 (30.0%), Ingrédient34 (26.4%), Ingrédient22 (14.9%)","E500, E200","Lait, Arachide","Halal, AOP",Allemagne,Italie,À conserver dans un endroit frais et sec,Prêt à consommer,3/8/2025,7111127237949,www.carrefour.com,contact@carrefour.com
1013,Carrefour noix,Carrefour,Snacks,Noix,Barquette sous vide,,,186.3 kcal,1040.8 kJ,19.5g,9.4g,2.5g,5.2g,57.6mg,57.7g,28.8g,18.7g,2.8g,,2.7g,793.8mg,276.4mg,10.2mg,52.9mg,3.7mg,643.4µg,91.8mg,2.3µg,0.8mg,1.9mg,10.3mg,0.8mg,1.2µg,3.9mg,,,6.1g,"Ingrédient37 (49.9%), Ingrédient19 (20.8%), Ingrédient6 (44.8%), Ingrédient32 (40.3%), Ingrédient28 (49.8%), Ingrédient1 (27.7%), Ingrédient4 (15.0%), Ingrédient13 (5.4%)","E150, E440","Moutarde, Soja, Lupin","Sans gluten, Commerce équitable",Espagne,Belgique,À conserver à l'abri de la lumière et de l'humidité,Cuire à l'eau bouillante pendant 10 minutes,6/4/2025,6799666757447,www.carrefour.com,contact@carrefour.com
1014,Lidl légumes,Lidl,Conserves,Légumes,Barquette,1383g,,180.3 kcal,1920.4 kJ,14.3g,,12.7g,4.6g,87.4mg,29.7g,,26.6g,5.4g,1.3g,4.4g,167.8mg,191.4mg,6.8mg,84.7mg,,833.7µg,30.2mg,,0.4mg,0.0mg,1.6mg,,4.4µg,,40.9µg,,2.9g,"Ingrédient16 (32.9%), Ingrédient30 (49.0%), Ingrédient18 (31.0%), Ingrédient29 (32.4%), Ingrédient30 (39.1%), Ingrédient43 (47.6%), Ingrédient25 (18.6%), Ingrédient48 (44.9%)",E101,Crustacés,Bio,Belgique,Pays-Bas,À conserver à température ambiante,À cuire 20 minutes au four à 180°C,20/6/2025,6050766984647,www.lidl.com,contact@lidl.com
1015,Pepsi - Lait spécial,Pepsi,Produits laitiers,Lait,Barquette,1083g,,75.0 kcal,1925.9 kJ,19.7g,10.6g,11.9g,7.4g,11.6mg,65.8g,,27.0g,11.7g,29.3g,,849.5mg,466.6mg,,66.1mg,3.4mg,198.9µg,43.0mg,2.2µg,1.5mg,1.2mg,15.5mg,1.9mg,2.0µg,7.8mg,20.5µg,1.2g,6.6g,"Ingrédient43 (39.9%), Ingrédient40 (6.5%), Ingrédient41 (33.3%), Ingrédient17 (47.7%), Ingrédient36 (3.3%), Ingrédient34 (6.6%), Ingrédient23 (12.5%), Ingrédient12 (3.5%)","E110, E102, E306, E160",Lait,"Halal, Sans gluten",Espagne,Espagne,À conserver dans un endroit frais et sec,À cuire 10 minutes à la poêle,5/6/2025,9624615489644,www.pepsi.com,contact@pepsi.com
1016,Maggi standard,Maggi,Riz,Standard,Bouteille verre,500g,,599.1 kcal,709.5 kJ,,3.5g,11.3g,5.8g,8.7mg,,30.4g,,1.3g,28.8g,,,403.7mg,12.4mg,,2.5mg,265.2µg,52.1mg,2.5µg,1.8mg,0.3mg,17.6mg,0.2mg,1.0µg,8.3mg,14.5µg,2.8g,7.2g,"Ingrédient14 (34.1%), Ingrédient20 (27.6%), Ingrédient5 (15.0%), Ingrédient19 (1.8%), Ingrédient7 (27.8%), Ingrédient19 (18.0%), Ingrédient42 (7.4%), Ingrédient37 (6.1%), Ingrédient40 (15.1%), Ingrédient6 (34.5%), Ingrédient45 (25.0%), Ingrédient39 (43.3%)","E120, E500, E440, E330",Lait,,Pays-Bas,Suisse,À conserver au congélateur à -18°C,À cuire 20 minutes au four à 180°C,9/9/2025,1183063174757,www.maggi.com,contact@maggi.com
1017,Bonne Maman - Boeuf spécial,Bonne Maman,Viandes,Boeuf,Film plastique,,,554.0 kcal,1230.6 kJ,19.3g,,8.5g,4.9g,36.9mg,34.8g,31.3g,11.7g,0.5g,2.4g,2.0g,765.3mg,202.4mg,4.1mg,94.2mg,0.1mg,146.4µg,34.6mg,9.5µg,1.2mg,0.6mg,8.1mg,1.3mg,,9.0mg,62.1µg,,9.1g,"Ingrédient32 (28.5%), Ingrédient18 (5.6%), Ingrédient32 (25.7%), Ingrédient22 (35.1%), Ingrédient19 (47.8%), Ingrédient12 (27.0%), Ingrédient10 (11.2%), Ingrédient36 (23.0%), Ingrédient38 (8.7%), Ingrédient15 (27.0%), Ingrédient19 (8.0%), Ingrédient42 (37.7%), Ingrédient2 (47.7%)",E415,Crustacés,,Belgique,Royaume-Uni,À conserver dans un endroit frais et sec,À décongeler avant consommation,20/5/2025,4662437336120,www.bonnemaman.com,contact@bonnemaman.com
1018,Knorr - Saumon spécial,Knorr,Poissons,Saumon,Sachet plastique,164g,,184.8 kcal,2129.8 kJ,38.4g,8.8g,14.1g,8.4g,66.9mg,70.9g,15.6g,,,11.5g,,,74.1mg,12.0mg,38.3mg,0.8mg,408.1µg,85.8mg,,0.5mg,1.3mg,7.5mg,2.0mg,0.8µg,5.1mg,42.9µg,1.0g,5.3g,"Ingrédient36 (35.6%), Ingrédient37 (22.3%), Ingrédient41 (27.3%), Ingrédient49 (15.0%), Ingrédient38 (18.2%)","E120, E150, E150, E471, E415","Œufs, Moutarde, Gluten",Bio,Portugal,Italie,À conserver dans un endroit frais et sec,Cuire à l'eau bouillante pendant 10 minutes,28/7/2025,4410595033046,www.knorr.com,contact@knorr.com
1019,Barilla - Standard spécial,Barilla,Pâtes,Standard,Barquette,1381g,,326.9 kcal,1205.4 kJ,0.2g,14.4g,12.3g,,77.5mg,33.0g,13.4g,15.1g,10.9g,28.3g,3.2g,685.7mg,418.8mg,5.0mg,48.6mg,4.6mg,506.9µg,56.0mg,2.2µg,0.3mg,1.0mg,1.7mg,1.1mg,,0.5mg,27.1µg,2.3g,5.3g,"Ingrédient19 (1.4%), Ingrédient12 (7.4%), Ingrédient50 (34.3%)",,,"Halal, Sans gluten",Belgique,Grèce,À conserver au congélateur à -18°C,À cuire 20 minutes au four à 180°C,25/1/2025,9551949098368,www.barilla.com,contact@barilla.com
1020,Knorr standard,Knorr,Fromages,Standard,Boîte métallique,,,271.8 kcal,,35.1g,8.3g,11.6g,2.6g,57.6mg,3.7g,,,13.4g,24.2g,1.5g,392.9mg,455.8mg,10.3mg,,2.2mg,866.8µg,55.1mg,5.7µg,,1.7mg,16.9mg,1.7mg,4.6µg,,69.9µg,,7.2g,"Ingrédient17 (5.8%), Ingrédient50 (20.1%), Ingrédient42 (41.1%), Ingrédient35 (20.8%), Ingrédient44 (47.2%), Ingrédient21 (2.6%)","E500, E200",,Label Rouge,Suisse,France,À conserver à température ambiante,À cuire 10 minutes à la poêle,6/1/2025,6164475700994,www.knorr.com,contact@knorr.com
1021,Le jus Knorr,Knorr,Boissons,Jus,Pot en verre,,,330.9 kcal,1778.9 kJ,39.8g,19.9g,0.1g,7.3g,92.9mg,1.6g,27.9g,,0.3g,16.1g,0.4g,992.6mg,,,,2.2mg,,53.3mg,10.0µg,0.5mg,0.5mg,5.6mg,0.7mg,0.9µg,1.5mg,46.1µg,1.6g,,"Ingrédient17 (10.9%), Ingrédient42 (22.1%), Ingrédient16 (40.5%), Ingrédient41 (27.7%), Ingrédient44 (17.6%), Ingrédient36 (36.2%), Ingrédient4 (44.2%)",E211,Lait,Végan,Pays-Bas,Suisse,À conserver au congélateur à -18°C,Cuire à l'eau bouillante pendant 10 minutes,14/4/2025,4110231292312,www.knorr.com,contact@knorr.com
1022,Standard Barilla tradition,Barilla,Riz,Standard,Barquette sous vide,812g,,279.0 kcal,,9.7g,6.5g,,4.9g,55.3mg,25.9g,,1.8g,2.0g,29.5g,4.5g,91.3mg,462.4mg,1.4mg,44.1mg,3.7mg,472.3µg,,5.7µg,0.9mg,,6.9mg,,2.3µg,,24.2µg,,4.5g,"Ingrédient22 (39.0%), Ingrédient47 (47.7%), Ingrédient35 (23.1%), Ingrédient9 (34.4%)","E101, E440, E440","Arachide, Arachide, Crustacés","Sans gluten, Commerce équitable",Belgique,Allemagne,À conserver dans un endroit frais et sec,Prêt à consommer,11/6/2025,7728191506627,www.barilla.com,contact@barilla.com
1023,Coca-Cola café premium,Coca-Cola,Boissons,Café,Conserve,1620g,,,1089.3 kJ,30.8g,6.8g,,2.2g,30.4mg,58.7g,28.5g,10.4g,14.7g,27.3g,3.1g,309.5mg,,3.7mg,,1.8mg,784.8µg,58.2mg,14.7µg,1.3mg,1.7mg,,,2.9µg,8.3mg,61.9µg,1.4g,3.6g,"Ingrédient29 (26.9%), Ingrédient16 (44.8%), Ingrédient37 (32.1%), Ingrédient14 (22.1%), Ingrédient22 (29.6%)","E200, E160, E150, E330, E211",,,Grèce,Portugal,À conserver au réfrigérateur entre 0°C et 4°C,Cuire à l'eau bouillante pendant 10 minutes,13/11/2025,6450986542460,www.coca-cola.com,contact@coca-cola.com
1024,Le standard Lu,Lu,Pâtisseries,Standard,Pot en verre,116g,,469.0 kcal,661.7 kJ,0.7g,7.8g,,2.1g,89.8mg,76.5g,23.3g,0.2g,7.6g,,3.7g,949.7mg,186.3mg,,48.9mg,0.2mg,400.0µg,52.6mg,6.2µg,0.3mg,1.0mg,5.2mg,1.6mg,0.3µg,3.8mg,,1.7g,1.3g,"Ingrédient46 (9.4%), Ingrédient5 (18.4%), Ingrédient14 (12.0%), Ingrédient14 (3.3%), Ingrédient35 (1.6%), Ingrédient38 (34.9%), Ingrédient41 (37.3%), Ingrédient12 (48.9%), Ingrédient37 (40.4%), Ingrédient23 (32.5%), Ingrédient49 (12.0%), Ingrédient34 (40.4%), Ingrédient36 (20.6%)","E101, E120","Crustacés, Lait, Crustacés",,Grèce,Grèce,À conserver au congélateur à -18°C,Prêt à consommer,6/11/2025,5076773638564,www.lu.com,contact@lu.com
1025,Sardine Knorr tradition,Knorr,Poissons,Sardine,Conserve,1282g,,,1225.1 kJ,31.7g,17.7g,14.1g,2.9g,70.8mg,64.2g,,7.2g,,,2.1g,396.7mg,,12.5mg,87.8mg,2.3mg,542.6µg,1.1mg,10.4µg,0.5mg,,,1.3mg,3.4µg,12.8mg,76.7µg,2.7g,0.1g,"Ingrédient22 (17.7%), Ingrédient22 (27.6%), Ingrédient37 (41.4%), Ingrédient49 (42.5%), Ingrédient45 (5.6%), Ingrédient47 (48.1%), Ingrédient4 (35.7%), Ingrédient44 (11.4%)",,,"Végan, Sans gluten",Belgique,Espagne,À conserver à température ambiante,À cuire 10 minutes à la poêle,22/8/2025,8730493265258,www.knorr.com,contact@knorr.com
1026,Le standard Président,Président,Charcuterie,Standard,Barquette,989g,,539.2 kcal,1116.4 kJ,24.7g,17.3g,3.0g,0.0g,91.5mg,21.2g,26.5g,19.6g,,4.0g,,896.3mg,67.6mg,13.6mg,59.0mg,0.1mg,892.7µg,84.1mg,,0.1mg,1.5mg,16.2mg,1.7mg,3.9µg,9.3mg,49.3µg,2.1g,6.3g,"Ingrédient49 (22.4%), Ingrédient27 (44.6%), Ingrédient16 (8.4%), Ingrédient45 (17.4%), Ingrédient14 (34.5%)",E110,Crustacés,,Royaume-Uni,Grèce,À conserver au congélateur à -18°C,À cuire 20 minutes au four à 180°C,26/4/2025,7941488740511,www.président.com,contact@président.com
1027,Pizza Heinz tradition,Heinz,Surgelés,Pizza,Boîte carton,,,404.2 kcal,2071.9 kJ,32.0g,1.2g,,4.0g,33.8mg,3.8g,36.7g,9.2g,,23.5g,3.1g,843.3mg,83.3mg,12.0mg,73.9mg,1.3mg,353.7µg,31.8mg,13.4µg,,0.2mg,7.1mg,1.8mg,3.5µg,,40.2µg,1.6g,3.3g,"Ingrédient24 (14.1%), Ingrédient41 (34.3%), Ingrédient36 (15.5%), Ingrédient35 (30.8%), Ingrédient34 (8.7%), Ingrédient28 (26.6%), Ingrédient25 (23.7%), Ingrédient44 (14.8%), Ingrédient6 (4.9%)","E102, E330",,"Halal, Commerce équitable",Portugal,France,À conserver à l'abri de la lumière et de l'humidité,Prêt à consommer,2/2/2025,2679891686250,www.heinz.com,contact@heinz.com
1028,Barilla - Standard spécial,Barilla,Confiseries,Standard,Barquette,674g,,168.7 kcal,,39.4g,4.3g,8.6g,3.5g,66.3mg,74.3g,24.9g,,10.9g,23.7g,1.8g,479.0mg,,,33.4mg,1.7mg,963.9µg,41.1mg,2.2µg,1.7mg,,11.9mg,1.1mg,0.7µg,,,,1.9g,"Ingrédient31 (49.3%), Ingrédient35 (24.2%), Ingrédient44 (32.8%), Ingrédient1 (42.5%), Ingrédient26 (5.0%), Ingrédient48 (41.0%), Ingrédient33 (48.3%), Ingrédient12 (38.4%), Ingrédient8 (37.6%), Ingrédient27 (23.3%)","E160, E415, E440, E306","Œufs, Gluten, Arachide",Sans gluten,Portugal,Grèce,À conserver au réfrigérateur entre 0°C et 4°C,Prêt à consommer,2/10/2025,8574858180180,www.barilla.com,contact@barilla.com
1029,Barilla standard premium,Barilla,Charcuterie,Standard,Film plastique,1467g,,487.5 kcal,1356.1 kJ,,11.8g,8.9g,8.2g,73.2mg,,35.3g,12.3g,,23.4g,3.4g,,35.4mg,14.0mg,,,841.4µg,,13.3µg,0.3mg,,19.5mg,1.0mg,2.6µg,14.9mg,,1.0g,5.5g,"Ingrédient36 (10.1%), Ingrédient14 (38.3%), Ingrédient41 (6.9%), Ingrédient19 (40.1%), Ingrédient17 (2.1%), Ingrédient46 (14.3%), Ingrédient15 (44.1%), Ingrédient8 (32.2%), Ingrédient6 (22.0%)","E306, E415","Lupin, Gluten",Sans gluten,France,Royaume-Uni,À conserver à l'abri de la lumière et de l'humidité,Cuire à l'eau bouillante pendant 10 minutes,25/2/2025,6449036095862,www.barilla.com,contact@barilla.com
1030,Lu - Standard spécial,Lu,Confiseries,Standard,Film plastique,1467g,,,,38.1g,19.6g,9.3g,0.5g,17.9mg,18.7g,31.4g,2.5g,8.5g,5.1g,0.1g,,,11.4mg,46.9mg,2.2mg,719.2µg,43.1mg,,1.0mg,1.7mg,9.6mg,0.9mg,1.9µg,9.4mg,,0.5g,8.6g,"Ingrédient3 (30.1%), Ingrédient25 (14.1%), Ingrédient11 (12.2%), Ingrédient12 (15.1%), Ingrédient46 (1.3%), Ingrédient32 (36.4%), Ingrédient30 (5.5%), Ingrédient21 (13.6%)",,"Poisson, Lait",,Suisse,Allemagne,À conserver à température ambiante,Cuire à l'eau bouillante pendant 10 minutes,9/8/2025,5176928477885,www.lu.com,contact@lu.com
1031,Standard Danone tradition,Danone,Confiseries,Standard,Boîte carton,,,210.2 kcal,1122.6 kJ,4.8g,17.2g,3.4g,5.9g,89.8mg,12.5g,39.0g,8.8g,5.8g,14.6g,,354.8mg,476.2mg,8.1mg,,,68.1µg,39.2mg,,0.5mg,1.1mg,15.5mg,1.5mg,3.7µg,8.2mg,2.3µg,1.4g,7.0g,"Ingrédient26 (44.9%), Ingrédient1 (39.2%), Ingrédient8 (39.7%), Ingrédient21 (24.4%), Ingrédient37 (14.7%), Ingrédient48 (8.0%), Ingrédient21 (12.5%)","E300, E211, E202, E306, E104","Œufs, Crustacés","Végan, Label Rouge",France,Suisse,À conserver à l'abri de la lumière et de l'humidité,À cuire 10 minutes à la poêle,28/6/2025,4060158565905,www.danone.com,contact@danone.com
